iter	Logloss
0	0.4886996709
1	0.4588907317
2	0.4492392942
3	0.4356040947
4	0.4256913301
5	0.4201991696
6	0.4131109217
7	0.4103556697
8	0.4088885578
9	0.4070484412
10	0.4055477568
11	0.4038645725
12	0.4025075089
13	0.4008051685
14	0.399764896
15	0.3987003729
16	0.3975634803
17	0.3969443243
18	0.3959841024
19	0.3951094937
20	0.3944270459
21	0.3934992248
22	0.3927349428
23	0.3920721708
24	0.3912796928
25	0.3907799121
26	0.3903217356
27	0.3896352649
28	0.3886157272
29	0.3880553454
30	0.3874252148
31	0.3869761383
32	0.3866220655
33	0.3864277833
34	0.3859549512
35	0.3855434962
36	0.385058273
37	0.3846911836
38	0.3841160228
39	0.3838905541
40	0.3833208607
41	0.3830168477
42	0.3825683708
43	0.3823517469
44	0.3820060309
45	0.3816137512
46	0.3811896648
47	0.3809452552
48	0.3801840572
49	0.3797006868
50	0.3792655826
51	0.3789614355
52	0.3788479414
53	0.3784078159
54	0.3781733672
55	0.3779131846
56	0.3772989401
57	0.3769582662
58	0.3765340679
59	0.3761573357
60	0.3759161955
61	0.3756820863
62	0.375395306
63	0.3751664468
64	0.3749331003
65	0.3746957067
66	0.3744476242
67	0.3742220809
68	0.3739904767
69	0.3737544157
70	0.3734313245
71	0.3730938826
72	0.3726769422
73	0.3722668557
74	0.3720555072
75	0.3719001329
76	0.3716740083
77	0.3716543319
78	0.3713845594
79	0.3713569762
80	0.3710892139
81	0.3709905599
82	0.3707183828
83	0.3705509912
84	0.3703562707
85	0.3701655122
86	0.3700446266
87	0.3699066539
88	0.3697241944
89	0.3696163938
90	0.3695952072
91	0.369525621
92	0.3693783609
93	0.3692552719
94	0.3690875137
95	0.3688164553
96	0.3685658989
97	0.3684279397
98	0.3682313836
99	0.3681086456
100	0.367790291
101	0.3676669839
102	0.3675210136
103	0.3674215809
104	0.3674117628
105	0.3673886959
106	0.3672579208
107	0.3670389527
108	0.3667874412
109	0.3666066078
110	0.366466298
111	0.3662505887
112	0.3661102123
113	0.3659069416
114	0.365635709
115	0.3653289572
116	0.3651213613
117	0.3648713197
118	0.3647646322
119	0.3646258445
120	0.3644162632
121	0.3641216377
122	0.3639940452
123	0.3638948343
124	0.3637403213
125	0.363540439
126	0.3634151758
127	0.3631489086
128	0.3628458429
129	0.362656887
130	0.3624664824
131	0.3622594111
132	0.3621185796
133	0.3619995528
134	0.361864131
135	0.3616965032
136	0.3615155434
137	0.3612429928
138	0.3610929121
139	0.3609098521
140	0.3607733403
141	0.3606565144
142	0.3604438687
143	0.3602969946
144	0.3601386679
145	0.3599678268
146	0.3598026311
147	0.3596868258
148	0.3595733803
149	0.3593601755
150	0.3592454471
151	0.3590878332
152	0.3589822001
153	0.3588509635
154	0.3587125301
155	0.3586470449
156	0.3585265084
157	0.3584262714
158	0.3583090543
159	0.3582067196
160	0.3581377745
161	0.3580364626
162	0.3579053444
163	0.357802121
164	0.3576978353
165	0.3576837997
166	0.3576474039
167	0.3574912818
168	0.3574337964
169	0.3573349218
170	0.3572479069
171	0.3570594268
172	0.3569773333
173	0.3567584544
174	0.3565672869
175	0.3564355884
176	0.3563286536
177	0.3563069437
178	0.3562613979
179	0.3561383115
180	0.3560114283
181	0.3559308405
182	0.3558768752
183	0.3557280537
184	0.3553731097
185	0.3552243104
186	0.3550834389
187	0.3549416744
188	0.354739077
189	0.3546490686
190	0.3545520303
191	0.3544308948
192	0.3542793507
193	0.3540299576
194	0.3538723852
195	0.3538462116
196	0.3537640271
197	0.3536835763
198	0.3535093763
199	0.3534807426
200	0.3533580216
201	0.3532622079
202	0.3531690882
203	0.353048935
204	0.3528611128
205	0.3526538076
206	0.3526399288
207	0.3525363123
208	0.3524233557
209	0.3522260989
210	0.3521411642
211	0.3520268234
212	0.3519086382
213	0.3516731814
214	0.3515105513
215	0.3514534128
216	0.3514325077
217	0.3513248084
218	0.3511322766
219	0.3510220217
220	0.3508856532
221	0.350763108
222	0.3507573125
223	0.3506528402
224	0.3504449208
225	0.3503142376
226	0.3501502944
227	0.3500182799
228	0.3499070439
229	0.3497658485
230	0.3496973319
231	0.3495979572
232	0.3494361562
233	0.3493606641
234	0.3492869736
235	0.3491453828
236	0.3490329495
237	0.3489342084
238	0.3488503637
239	0.348672794
240	0.3485625634
241	0.3484804957
242	0.3483687443
243	0.3482425152
244	0.3481080547
245	0.3480330329
246	0.3479560905
247	0.3477946491
248	0.3476620824
249	0.3475998569
250	0.3474738197
251	0.3474094277
252	0.3472131391
253	0.3471500895
254	0.3470812234
255	0.3469892956
256	0.3468760111
257	0.3467619072
258	0.3466687736
259	0.3466499878
260	0.3465602377
261	0.3464435766
262	0.3462701396
263	0.3462040143
264	0.3461131922
265	0.3460642697
266	0.3459233418
267	0.3457307567
268	0.3455168239
269	0.3454158458
270	0.3452923866
271	0.3452090244
272	0.3450389382
273	0.344921328
274	0.3448333065
275	0.3447555627
276	0.3446581555
277	0.3444994073
278	0.3444814851
279	0.3443846529
280	0.3443484721
281	0.3442299077
282	0.3441354796
283	0.3439949327
284	0.3439865021
285	0.3439112204
286	0.3437952997
287	0.3436705914
288	0.3436517337
289	0.3435211203
290	0.3434370686
291	0.3432620654
292	0.3431856425
293	0.3431204488
294	0.3430105984
295	0.3429497549
296	0.3429271902
297	0.3428150571
298	0.3427192743
299	0.3426396642
300	0.3425576757
301	0.3425428024
302	0.3424519138
303	0.3422970437
304	0.3422640454
305	0.3421706754
306	0.3420894426
307	0.3418914562
308	0.3417376397
309	0.3416406811
310	0.3416214004
311	0.3413350839
312	0.3411898845
313	0.3410559337
314	0.3409613817
315	0.340826904
316	0.3407350569
317	0.340671837
318	0.3406037724
319	0.3404937979
320	0.340401817
321	0.3403399243
322	0.3403331783
323	0.3402730553
324	0.3402135482
325	0.3401291637
326	0.3400177301
327	0.339884234
328	0.3398012555
329	0.3397264
330	0.3396339572
331	0.3395545796
332	0.3394515071
333	0.339382925
334	0.3392989182
335	0.3392148746
336	0.3391494864
337	0.3390855067
338	0.3389978406
339	0.3389491782
340	0.3388608989
341	0.3387041548
342	0.3386332057
343	0.3385722137
344	0.3384700906
345	0.3384171852
346	0.3383331709
347	0.3382461375
348	0.3381292373
349	0.3380299774
350	0.3378152786
351	0.3378009229
352	0.3377341544
353	0.337632606
354	0.3375644719
355	0.3374654961
356	0.3374097918
357	0.3373192748
358	0.3372432994
359	0.3371723866
360	0.337033311
361	0.3369351527
362	0.3368717875
363	0.3368229397
364	0.3367034444
365	0.3366405457
366	0.3365667141
367	0.3364849728
368	0.3364247196
369	0.3363582789
370	0.3362445405
371	0.3362269894
372	0.336053855
373	0.33596209
374	0.3358813327
375	0.335788994
376	0.3356994856
377	0.3355481841
378	0.3354821361
379	0.3353529898
380	0.3352888485
381	0.3351994345
382	0.3351154511
383	0.3350319308
384	0.3349776284
385	0.3349380364
386	0.3347941162
387	0.3347284422
388	0.33463229
389	0.3345433482
390	0.3344902652
391	0.3343251985
392	0.3342802692
393	0.334177261
394	0.3341047413
395	0.3339553517
396	0.3339345802
397	0.3338644134
398	0.3337898931
399	0.3337250062
400	0.3336240037
401	0.3335077441
402	0.3334463885
403	0.3333606301
404	0.3333121959
405	0.3332592858
406	0.3331528939
407	0.3330982703
408	0.3330258615
409	0.3329304733
410	0.332826915
411	0.3327537412
412	0.332677198
413	0.3325933026
414	0.33249803
415	0.332425561
416	0.3323749896
417	0.3323170147
418	0.3322429157
419	0.3321438055
420	0.3320797602
421	0.3320011638
422	0.3318787934
423	0.3318146734
424	0.3316904765
425	0.3316365096
426	0.3315437354
427	0.3314815766
428	0.3313916982
429	0.3313302871
430	0.3312715504
431	0.3311495204
432	0.3310213556
433	0.3309390168
434	0.3308488512
435	0.3307967515
436	0.3307216032
437	0.3306463288
438	0.3306355491
439	0.3305799029
440	0.3305458096
441	0.3304534775
442	0.3303976248
443	0.3303052647
444	0.3301891876
445	0.330098107
446	0.3300345512
447	0.3299493772
448	0.3298493516
449	0.3297934782
450	0.3297002681
451	0.3296134538
452	0.3294842392
453	0.3294091576
