iter	Passed	Remaining
0	20	20179
1	38	19384
2	56	18752
3	73	18204
4	91	18236
5	111	18460
6	133	18965
7	153	19044
8	179	19805
9	202	20003
10	223	20126
11	243	20017
12	266	20252
13	286	20196
14	304	19998
15	327	20137
16	346	20030
17	367	20052
18	389	20116
19	410	20118
20	441	20602
21	484	21544
22	528	22447
23	546	22215
24	585	22831
25	603	22614
26	626	22578
27	644	22368
28	663	22206
29	682	22071
30	700	21908
31	723	21891
32	743	21783
33	763	21699
34	784	21625
35	803	21502
36	824	21447
37	842	21326
38	863	21269
39	889	21344
40	907	21231
41	927	21158
42	949	21135
43	974	21170
44	993	21086
45	1017	21102
46	1036	21010
47	1056	20944
48	1076	20900
49	1095	20808
50	1115	20759
51	1137	20744
52	1162	20771
53	1181	20694
54	1201	20647
55	1226	20670
56	1243	20568
57	1264	20533
58	1284	20486
59	1308	20493
60	1331	20492
61	1354	20486
62	1381	20541
63	1404	20540
64	1431	20595
65	1452	20549
66	1474	20535
67	1494	20483
68	1521	20533
69	1543	20500
70	1568	20525
71	1588	20472
72	1608	20430
73	1627	20362
74	1644	20283
75	1666	20258
76	1686	20219
77	1707	20187
78	1726	20129
79	1748	20109
80	1768	20068
81	1791	20058
82	1816	20072
83	1839	20055
84	1862	20047
85	1882	20002
86	1906	20006
87	1930	20009
88	1956	20027
89	1979	20014
90	2004	20023
91	2024	19977
92	2043	19925
93	2068	19932
94	2087	19889
95	2113	19899
96	2135	19884
97	2160	19883
98	2178	19826
99	2202	19822
100	2221	19771
101	2241	19738
102	2264	19718
103	2285	19692
104	2307	19664
105	2324	19605
106	2344	19565
107	2364	19531
108	2382	19475
109	2400	19420
110	2419	19379
111	2438	19330
112	2458	19295
113	2480	19280
114	2499	19235
115	2518	19190
116	2535	19137
117	2553	19084
118	2574	19059
119	2597	19047
120	2618	19019
121	2636	18970
122	2656	18940
123	2673	18888
124	2690	18832
125	2708	18790
126	2730	18770
127	2751	18745
128	2769	18702
129	2787	18656
130	2805	18609
131	2827	18592
132	2850	18581
133	2869	18541
134	2887	18502
135	2905	18456
136	2926	18434
137	2947	18412
138	2968	18384
139	2986	18346
140	3008	18331
141	3028	18296
142	3045	18250
143	3065	18220
144	3083	18183
145	3100	18135
146	3121	18112
147	3139	18074
148	3161	18056
149	3182	18035
150	3204	18016
151	3221	17970
152	3238	17927
153	3258	17900
154	3277	17867
155	3300	17857
156	3323	17844
157	3341	17807
158	3361	17779
159	3379	17740
160	3400	17722
161	3422	17703
162	3444	17687
163	3466	17668
164	3488	17651
165	3505	17610
166	3529	17603
167	3551	17586
168	3569	17553
169	3591	17532
170	3609	17499
171	3627	17464
172	3650	17450
173	3672	17435
174	3689	17393
175	3708	17361
176	3728	17337
177	3752	17329
178	3773	17307
179	3798	17306
180	3826	17313
181	3855	17326
182	3876	17307
183	3899	17293
184	3920	17269
185	3940	17243
186	3962	17227
187	3984	17208
188	4003	17177
189	4023	17153
190	4040	17115
191	4059	17082
192	4078	17052
193	4098	17028
194	4117	16998
195	4139	16981
196	4162	16966
197	4183	16945
198	4201	16911
199	4219	16879
200	4240	16856
201	4259	16826
202	4277	16794
203	4297	16769
204	4317	16742
205	4338	16722
206	4358	16696
207	4376	16665
208	4397	16643
209	4419	16625
210	4442	16611
211	4466	16600
212	4488	16584
213	4506	16551
214	4525	16524
215	4544	16495
216	4567	16480
217	4588	16460
218	4609	16439
