iter	Passed	Remaining
0	21	21308
1	39	19673
2	62	20669
3	86	21440
4	105	20928
5	127	21097
6	146	20785
7	165	20476
8	186	20499
9	204	20264
10	226	20331
11	244	20169
12	264	20105
13	284	20061
14	311	20429
15	334	20573
16	354	20500
17	373	20372
18	393	20339
19	413	20241
20	431	20134
21	450	20037
22	470	19983
23	489	19902
24	510	19924
25	530	19872
26	567	20450
27	598	20759
28	625	20934
29	664	21470
30	682	21348
31	706	21368
32	726	21293
33	748	21257
34	779	21498
35	802	21499
36	820	21346
37	839	21254
38	857	21129
39	879	21099
40	898	21012
41	916	20899
42	936	20853
43	959	20842
44	978	20760
45	996	20668
46	1014	20572
47	1036	20552
48	1055	20486
49	1074	20423
50	1092	20335
51	1111	20259
52	1134	20262
53	1151	20179
54	1174	20173
55	1191	20084
56	1209	20002
57	1228	19955
58	1245	19872
59	1266	19838
60	1292	19894
61	1312	19850
62	1329	19778
63	1349	19735
64	1367	19669
65	1389	19660
66	1406	19591
67	1424	19526
68	1444	19493
69	1463	19445
70	1481	19390
71	1500	19343
72	1522	19334
73	1547	19362
74	1572	19390
75	1591	19352
76	1614	19349
77	1637	19350
78	1656	19315
79	1680	19326
80	1701	19303
81	1725	19314
82	1746	19293
83	1769	19292
84	1789	19259
85	1811	19257
86	1834	19247
87	1853	19205
88	1877	19219
89	1898	19198
90	1926	19248
91	1963	19380
92	1990	19410
93	2049	19753
94	2070	19727
95	2092	19707
96	2112	19668
97	2131	19620
98	2152	19586
99	2169	19527
100	2189	19487
101	2211	19470
102	2236	19481
103	2264	19508
104	2294	19558
105	2322	19589
106	2353	19640
107	2371	19589
108	2394	19572
109	2412	19520
110	2435	19508
111	2454	19461
112	2471	19402
113	2491	19360
114	2509	19310
115	2525	19247
116	2546	19216
117	2564	19168
118	2586	19147
119	2604	19098
120	2623	19055
121	2645	19039
122	2664	18996
123	2685	18970
124	2704	18931
125	2723	18890
126	2744	18865
127	2762	18819
128	2780	18776
129	2803	18759
130	2822	18721
131	2840	18677
132	2860	18647
133	2878	18600
134	2894	18548
135	2915	18522
136	2933	18475
137	2951	18434
138	2969	18392
139	2988	18357
140	3007	18319
141	3026	18286
142	3045	18252
143	3066	18229
144	3086	18199
145	3105	18165
146	3126	18143
147	3144	18101
148	3165	18078
149	3182	18036
150	3200	17997
151	3220	17968
152	3238	17926
153	3257	17893
154	3277	17868
155	3296	17833
156	3313	17793
157	3332	17760
158	3348	17712
159	3370	17693
160	3392	17678
161	3415	17666
162	3432	17627
163	3457	17624
164	3477	17598
165	3499	17579
166	3521	17566
167	3540	17535
168	3563	17520
169	3586	17509
170	3607	17488
171	3627	17461
172	3647	17437
173	3670	17424
174	3688	17388
175	3706	17354
176	3727	17332
177	3749	17313
178	3771	17298
179	3793	17279
180	3810	17242
181	3830	17214
182	3851	17195
183	3872	17172
184	3891	17141
185	3907	17101
186	3927	17074
187	3946	17045
188	3966	17019
189	3987	17001
190	4008	16976
191	4028	16955
192	4045	16916
193	4064	16885
194	4083	16858
195	4106	16844
196	4125	16817
197	4147	16797
198	4163	16760
199	4186	16744
200	4204	16712
201	4222	16680
202	4241	16654
203	4261	16628
204	4279	16596
205	4298	16568
206	4319	16546
207	4341	16531
208	4360	16502
209	4378	16470
210	4400	16456
211	4420	16432
212	4438	16401
213	4456	16370
214	4476	16343
215	4493	16311
216	4516	16295
217	4537	16278
218	4555	16245
219	4575	16222
220	4595	16199
221	4621	16197
222	4643	16179
223	4663	16156
224	4685	16139
225	4703	16108
226	4721	16077
227	4742	16059
228	4760	16026
229	4777	15993
230	4795	15962
231	4817	15947
232	4835	15917
233	4855	15893
234	4875	15870
235	4894	15846
236	4915	15825
237	4932	15792
238	4954	15775
239	4974	15753
240	4996	15735
241	5017	15716
242	5036	15690
243	5056	15667
244	5078	15648
245	5098	15627
246	5120	15608
247	5140	15586
248	5160	15564
249	5182	15547
250	5203	15528
251	5221	15499
252	5242	15477
253	5263	15458
254	5281	15430
255	5303	15414
256	5321	15385
257	5342	15363
258	5363	15344
259	5383	15322
260	5403	15298
261	5425	15282
262	5444	15255
263	5466	15239
264	5487	15219
265	5510	15205
266	5528	15176
267	5552	15166
268	5583	15173
269	5731	15495
270	5841	15713
271	5878	15732
272	5906	15729
273	5935	15726
274	5959	15712
275	5988	15708
276	6067	15835
277	6117	15886
278	6181	15974
279	6216	15985
280	6244	15977
281	6273	15973
282	6294	15947
283	6312	15913
284	6335	15894
285	6356	15869
286	6377	15844
287	6396	15813
288	6418	15791
289	6435	15756
290	6457	15732
291	6478	15708
292	6498	15681
293	6519	15654
294	6541	15632
295	6562	15609
296	6584	15586
297	6605	15561
298	6624	15531
299	6643	15500
300	6666	15480
301	6688	15458
302	6712	15440
303	6737	15425
304	6763	15411
305	6783	15385
306	6803	15358
307	6829	15344
308	6854	15327
309	6874	15300
310	6902	15291
311	6926	15272
312	6956	15268
313	6975	15239
314	7000	15224
315	7021	15199
316	7042	15173
317	7066	15155
318	7084	15124
319	7103	15094
320	7123	15068
321	7147	15049
322	7169	15027
323	7187	14995
324	7205	14965
325	7225	14939
326	7245	14911
327	7269	14892
328	7457	15210
329	7493	15213
330	7528	15216
331	7565	15222
332	7611	15244
333	7638	15231
334	7683	15252
335	7723	15263
336	7755	15257
337	7783	15244
338	7805	15219
339	7824	15188
340	7842	15155
341	7864	15130
342	7885	15104
343	7905	15075
344	7924	15044
345	7945	15017
346	7965	14989
347	7984	14958
348	8002	14927
349	8019	14894
350	8041	14869
351	8061	14840
352	8079	14809
353	8099	14780
354	8116	14746
355	8133	14712
356	8150	14679
357	8168	14648
358	8187	14618
359	8208	14592
360	8231	14571
361	8254	14547
362	8271	14515
363	8293	14491
364	8313	14463
365	8337	14442
366	8355	14411
