iter	Passed	Remaining
0	4	489
1	48	2370
2	454	14690
3	458	10999
4	854	16237
5	904	14172
6	1291	17152
7	1681	19337
8	2089	21126
9	2545	22912
10	2966	24000
11	3368	24701
12	3744	25060
13	4141	25443
14	4509	25552
15	4940	25939
16	5347	26105
17	5732	26114
18	6121	26096
19	6507	26029
20	6885	25903
21	7270	25777
22	7652	25618
23	8069	25552
24	8474	25423
25	8865	25233
26	9279	25088
27	9709	24967
28	10128	24798
29	10529	24569
30	10973	24424
31	11364	24149
32	11773	23903
33	12184	23651
34	12551	23310
35	12974	23064
36	13381	22784
37	13804	22522
38	14210	22227
39	14818	22227
40	15245	21937
41	15791	21806
42	16152	21412
43	16569	21088
44	16960	20730
45	17328	20341
46	17844	20123
47	18248	19768
48	18701	19465
49	19160	19160
50	19643	18873
51	20312	18750
52	21009	18630
53	21922	18674
54	22908	18742
55	23496	18461
56	23997	18103
57	24630	17835
58	25153	17479
59	25708	17139
60	26352	16848
61	26844	16453
62	27315	16042
63	27798	15636
64	28354	15267
65	28811	14842
66	29293	14428
67	29778	14013
68	30269	13599
69	30610	13118
70	31025	12672
71	31029	12066
72	31360	11598
73	31665	11125
74	32221	10740
75	32333	10210
76	32751	9782
77	33134	9345
78	33331	8860
79	33773	8443
80	34298	8045
81	34372	7545
82	34438	7053
83	34874	6642
84	35199	6211
85	35502	5779
86	35803	5349
87	36131	4927
88	36434	4503
89	36740	4082
90	37052	3664
91	37350	3247
92	37675	2835
93	37784	2411
94	38177	2009
95	38628	1609
96	39248	1213
97	39399	804
98	39979	403
99	40407	0
